accommodation_name,accommodation_address,accommodation_rating,accommodation_city
Maldon's Eaglehawk Motel,"35 Reef St, Maldon VIC 3463, Australia",4.5,CASTLEMAINE
Tread Harcourt,"21 High St, Harcourt VIC 3453, Australia",4.8,CASTLEMAINE
The Potager,"211 Golden Point Rd, Golden Point VIC 3450, Australia",5.0,CASTLEMAINE
Taradale House Estate Boutique Retreat,"119 Phillips Rd, Taradale VIC 3447, Australia",4.9,CASTLEMAINE
Corinella Country House,"998 Kyneton-Metcalfe Rd, Kyneton VIC 3444, Australia",5.0,CASTLEMAINE
Flynns Hill,"114 Flynns Ln, Kyneton VIC 3444, Australia",4.4,CASTLEMAINE
Ashmont Motor Inn & Apartments,"47 Bank St, Port Fairy VIC 3284, Australia",4.3,PORT FAIRY
Central Motel Port Fairy,"56 Sackville St, Port Fairy VIC 3284, Australia",4.2,PORT FAIRY
"Seacombe House - Motor Inn, Guest House & Historic Cottages Port Fairy","22 Sackville St, Port Fairy VIC 3284, Australia",4.5,PORT FAIRY
Dockside Waterfront Indulgence,"6/25 Gipps St, Port Fairy VIC 3284, Australia",4.7,PORT FAIRY
Old Market Inn,"51 William St, Port Fairy VIC 3284, Australia",5.0,PORT FAIRY
The Waves - Port Fairy,"58 Ocean Dr, Port Fairy VIC 3284, Australia",4.4,PORT FAIRY
The Carleton Inn,"1280 Princes Hwy, Killarney VIC 3283, Australia",4.0,PORT FAIRY
Gardens Caravan Park Port Fairy,"111 Griffiths St, Port Fairy VIC 3284, Australia",4.3,PORT FAIRY
Boathouse Holiday House,"2A Hanley Ct, Port Fairy VIC 3284, Australia",5.0,PORT FAIRY
Harmony at Tower Hill,"Princes Hwy & Lake View Road, Tower Hill VIC 3283, Australia",4.4,PORT FAIRY
Horizons Beachfront Apartment,"2 Ritchie St, Port Fairy VIC 3284, Australia",5.0,PORT FAIRY
Amhurst,"25 Thistle Pl, Port Fairy VIC 3284, Australia",5.0,PORT FAIRY
Sheoaks Beach House,"27 Thistle Pl, Port Fairy VIC 3284, Australia",5.0,PORT FAIRY
Yambuk Lake Caravan Park,"345 Carrolls Rd, Yambuk VIC 3285, Australia",4.6,PORT FAIRY
Koroit Tower Hill Caravan Park,"High St, Koroit VIC 3282, Australia",3.7,PORT FAIRY
Alexandra Motel & Motor Inn,"76 Downey St, Alexandra VIC 3714, Australia",4.1,ALEXANDRA
Eildon Lake Motel,"2 Girdwood Parade, Eildon VIC 3713, Australia",4.5,ALEXANDRA
Molesworth Food & Wine Company,"4364 Goulburn Valley Hwy, Molesworth VIC 3718, Australia",5.0,ALEXANDRA
Eildon Parkview Motor Inn,"6 Hillside Ave S, Eildon VIC 3713, Australia",4.8,ALEXANDRA
Eildon Pondage Holiday Park,"10 Eildon Rd, Eildon VIC 3713, Australia",4.4,ALEXANDRA
Greensborough Motor Inn,"245 Greensborough Rd, Macleod VIC 3085, Australia",3.7,GREENSBOROUGH
Best Western Mill Park Motel & Conference Centre,"14 The Link, Mill Park VIC 3082, Australia",4.0,GREENSBOROUGH
Eltham Motor Inn,"1450 Main Rd, Eltham VIC 3095, Australia",4.1,GREENSBOROUGH
Bell Motel,"2 Patterson St, Preston VIC 3072, Australia",4.1,GREENSBOROUGH
Best Western Mahoneys Motor Inn,"47A Mahoneys Rd, Reservoir VIC 3073, Australia",3.7,GREENSBOROUGH
Eltham Retreat,"158 Bolton St, Eltham VIC 3095, Australia",2.5,GREENSBOROUGH
Meadow Inn Hotel-Motel,"1435 Sydney Rd, Fawkner VIC 3061, Australia",3.6,GREENSBOROUGH
St Georges Motor Inn,"334 St Georges Rd, Thornbury VIC 3071, Australia",4.0,GREENSBOROUGH
Hume Villa Motor Inn,"1324 Sydney Rd, Fawkner VIC 3060, Australia",3.9,GREENSBOROUGH
Best Western Plus The Tudor,"1101 Whitehorse Rd, Box Hill VIC 3128, Australia",3.6,GREENSBOROUGH
Motel Maroondah,"768 Whitehorse Rd, Mont Albert VIC 3127, Australia",2.5,GREENSBOROUGH
Coburg Motor Inn,"726 Sydney Rd, Coburg North VIC 3058, Australia",2.6,GREENSBOROUGH
Warrandyte Goldfields B & B,"1/3 Whipstick Gully Rd, Warrandyte VIC 3113, Australia",4.9,GREENSBOROUGH
1101 Ivanhoe Apartments,"Unit 1101/443 Upper Heidelberg Rd, Ivanhoe VIC 3079, Australia",5.0,GREENSBOROUGH
Arden Motel,"15 Arden St, North Melbourne VIC 3051, Australia",3.7,GREENSBOROUGH
Parkville Motel,"759 Park St, Brunswick VIC 3056, Australia",3.7,GREENSBOROUGH
Centrepoint Units,"5/81 Lower Heidelberg Rd, Ivanhoe VIC 3079, Australia",0.0,GREENSBOROUGH
Yarra House Guest Rooms,"Yarra House, Fairfield VIC 3078, Australia",0.0,GREENSBOROUGH
Luxury House Rental,"94 Highett St, Richmond VIC 3121, Australia",5.0,GREENSBOROUGH
TWO FIVE ZERO / RICHMOND,"Burnley St, Richmond VIC 3121, Australia",5.0,GREENSBOROUGH
Goldfields Motel Stawell,"7-9 Ararat Rd, Stawell VIC 3380, Australia",4.1,STAWELL
Motel Stawell,"21 Longfield St, Stawell VIC 3380, Australia",4.1,STAWELL
Hi-Way Eight Motor Inn,"28 Longfield St, Stawell VIC 3380, Australia",4.2,STAWELL
Coorrabin Motor Inn,"phone 03 53583933, 7 Longfield St, Stawell VIC 3380, Australia",4.5,STAWELL
Diamond House Heritage Restaurant and Motor Inn,"24 Seaby St, Stawell VIC 3380, Australia",4.0,STAWELL
Magdala Motor Lodge & Lakeside Restaurant,"3149 Western Hwy, Stawell VIC 3380, Australia",4.2,STAWELL
Stawell Holiday Cottages,"10 Errington Rd, Stawell VIC 3380, Australia",4.4,STAWELL
Stawell's Grampians Gate Caravan Park,"2 Burgh St, Stawell VIC 3380, Australia",4.4,STAWELL
Great Western Hotel,"101 Main St, Great Western VIC 3374, Australia",4.4,STAWELL
Langsford Luxury,"85 Main St, Stawell VIC 3380, Australia",5.0,STAWELL
Black Range Holiday Village Stawell Park,"2 Monaghan Rd, Black Range VIC 3381, Australia",3.5,STAWELL
Lake Fyans Holiday Park,"The Grampians, 650 Mokepilly Rd, Lake Fyans VIC 3381, Australia",4.1,STAWELL
Mountain View Motor Inn & Holiday Lodges,"4236 Ararat-Halls Gap Rd, Halls Gap VIC 3381, Australia",4.5,STAWELL
DULC,"Thryptomene Ct, Halls Gap VIC 3381, Australia",4.8,STAWELL
Halls Gap Gardens Caravan Park,"2223 Grampians Rd, Halls Gap VIC 3381, Australia",4.1,STAWELL
Halls Gap Lakeside Tourist Park,"23-27 Tymna Dr, Halls Gap VIC 3381, Australia",4.7,STAWELL
Boroka Downs,"51 Birdswing Rd, Halls Gap VIC 3381, Australia",4.9,STAWELL
Grampians Old Man Emu Stay,"3971 Ararat-Halls Gap Rd, Halls Gap VIC 3381, Australia",4.8,STAWELL
Grampians Pioneer Cottages,"58 Pioneer Ln, Halls Gap VIC 3381, Australia",4.9,STAWELL
Halls Gap Escape,"6/15-17 Clematis Dr, Halls Gap VIC 3381, Australia",4.9,STAWELL
Rydges St Kilda,"35-37 Fitzroy St, St Kilda VIC 3182, Australia",3.8,ST KILDA
Redan Apartments,"25 Redan St, St Kilda VIC 3182, Australia",1.8,ST KILDA
Easystay Bayside Motel,"63 Fitzroy St, St Kilda VIC 3182, Australia",3.1,ST KILDA
Tolarno Hotel,"42 Fitzroy St, St Kilda VIC 3182, Australia",4.0,ST KILDA
Windows on Barkly Restaurant - Crest Hotel,"47 Barkly St, St Kilda VIC 3182, Australia",3.8,ST KILDA
Quest St Kilda Bayside,"1 Eildon Rd, St Kilda VIC 3182, Australia",4.1,ST KILDA
Amazing Accommodations St Kilda Melbourne,"1A St Kilda Rd, St Kilda VIC 3182, Australia",3.9,ST KILDA
Cosmopolitan Hotel,"6 Carlisle St, St Kilda VIC 3182, Australia",4.0,ST KILDA
Adina Apartment Hotel St Kilda Melbourne,"157 Fitzroy St, St Kilda VIC 3182, Australia",4.1,ST KILDA
The Hamptons Apartments - St Kilda Apartment Hotel,"154 Chapel St, St Kilda VIC 3182, Australia",0.0,ST KILDA
Beaufort Motel,"18 Neill St, Beaufort VIC 3373, Australia",4.3,BEAUFORT
Beaufort Hotel,"23 Pratt St, Beaufort VIC 3373, Australia",4.4,BEAUFORT
Golden Age Hotel,"11 Havelock St, Beaufort VIC 3373, Australia",4.1,BEAUFORT
Beaufort Lake Caravan Park,"39 Park Rd, Beaufort VIC 3373, Australia",4.1,BEAUFORT
Eurambeen Historic Homestead and Gardens,"232 Eurambeen-Streatham Rd, Beaufort VIC 3373, Australia",4.6,BEAUFORT
Mount Cole Cottages,"11 Frees Point Rd, Raglan VIC 3373, Australia",4.8,BEAUFORT
Pyrenees Hotel Lexton,"39 Williamson St, Lexton VIC 3352, Australia",4.5,BEAUFORT
Valdara Rustic Farmstay,"8 Dundas St, Raglan VIC 3373, Australia",4.3,BEAUFORT
Snake Valley The Royal Hotel,"886 Linton - Carrignham R, Snake Valley VIC 3351, Australia",4.3,BEAUFORT
Blue House at Mountainside Wines,"197 Mount Cole Rd, Mount Cole VIC 3377, Australia",5.0,BEAUFORT
Vue Grand,"46 Hesse St, Queenscliff VIC 3225, Australia",3.9,QUEENSCLIFF
Cobb & Co Lodge,"37 Learmonth St, Queenscliff VIC 3225, Australia",3.0,QUEENSCLIFF
Circa 1902 Queenscliff Restaurant accommodation Perfumery,"59 Hesse St, Queenscliff VIC 3225, Australia",4.3,QUEENSCLIFF
Ruby's Queenscliff,"2 St Andrews St, Queenscliff VIC 3225, Australia",4.3,QUEENSCLIFF
Ozone Hotel,"42 Gellibrand St, Queenscliff VIC 3225, Australia",5.0,QUEENSCLIFF
Athelstane House,"4 Hobson St, Queenscliff VIC 3225, Australia",4.7,QUEENSCLIFF
Boat Ramp Motel,"Boat Ramp Motel, 14-18 Guthridge St, Ocean Grove VIC 3226, Australia",4.0,QUEENSCLIFF
Seaview House,"86 Hesse St, Queenscliff VIC 3225, Australia",4.4,QUEENSCLIFF
Salt Loft,"33-35 Hesse St, Queenscliff VIC 3225, Australia",4.3,QUEENSCLIFF
BIG4 Beacon Resort Queenscliff,"78 Bellarine Hwy, Queenscliff VIC 3225, Australia",4.7,QUEENSCLIFF
Point Lonsdale Holiday Apartments,"2 Jordan Rd, Point Lonsdale VIC 3225, Australia",4.6,QUEENSCLIFF
Benambra Bed & Breakfast,"15 Hesse St, Queenscliff VIC 3225, Australia",4.4,QUEENSCLIFF
Queenscliff Tourist Parks,"134 Hesse St, Queenscliff VIC 3225, Australia",4.4,QUEENSCLIFF
The Pole House - Queenscliff,"2 Mercer St, Queenscliff VIC 3225, Australia",4.0,QUEENSCLIFF
Carisbrook Cottage Queenscliff,"15 Symonds St, Queenscliff VIC 3225, Australia",4.5,QUEENSCLIFF
Point Lonsdale Guest House,"31 Point Lonsdale Rd, Point Lonsdale VIC 3225, Australia",4.3,QUEENSCLIFF
Surfside Ocean Grove Motel and Cabins,"175 Bonnyvale Rd, Ocean Grove VIC 3226, Australia",3.7,QUEENSCLIFF
The Nest Luxury Stay,"2140 Bellarine Hwy, Point Lonsdale VIC 3225, Australia",5.0,QUEENSCLIFF
Springhill House on Pardalote,"1/13 Pardalote Cl, Queenscliff VIC 3225, Australia",4.7,QUEENSCLIFF
Roseneath Villa,"108 Fellows Rd, Point Lonsdale VIC 3225, Australia",4.9,QUEENSCLIFF
Leongatha Motel,"18 Turner St, Leongatha VIC 3953, Australia",2.6,LEONGATHA
Opal Motel,"155 S Gippsland Hwy, Leongatha VIC 3953, Australia",3.4,LEONGATHA
Coal Creek Motel,"8444 S Gippsland Hwy, Korumburra VIC 3950, Australia",3.6,LEONGATHA
Meeniyan Motel,"119-129 Whitelaw St, Meeniyan VIC 3956, Australia",3.7,LEONGATHA
Inverloch Central Motor Inn,"32-34 Abeckett St, Inverloch VIC 3996, Australia",4.4,LEONGATHA
1st T Motel,"18 Galvins Rd, Mirboo North VIC 3871, Australia",4.5,LEONGATHA
Motel on A'Beckett,"24 Abeckett St, Inverloch VIC 3996, Australia",4.8,LEONGATHA
Inverloch Motel,"39 Powlett St, Inverloch VIC 3996, Australia",4.3,LEONGATHA
Inverloch Cabins,"18 Williams St, Inverloch VIC 3996, Australia",4.4,LEONGATHA
DriftAway Inverloch,"130 Surf Parade, Inverloch VIC 3996, Australia",0.0,LEONGATHA
Beilby By The Sea,"1 Beilby Ave, Inverloch VIC 3996, Australia",4.0,LEONGATHA
ValentineHills,"11 Roy St, Loch VIC 3945, Australia",0.0,LEONGATHA
Venus Bay Eco Retreat,"802 Lees Rd, Venus Bay VIC 3956, Australia",5.0,LEONGATHA
Beach House Inverloch,"126 Surf Parade, Inverloch VIC 3996, Australia",4.8,LEONGATHA
Hamilton Lakeside Motel,"22-24 Ballarat Rd, Hamilton VIC 3300, Australia",4.1,HAMILTON
Bandicoot Motor Inn,"152 Ballarat Rd, Hamilton VIC 3300, Australia",4.2,HAMILTON
Hamilton Townhouse Motel,"27 Shakespeare St, Hamilton VIC 3300, Australia",4.6,HAMILTON
AAt 28 Goldsmith Motel Hamilton,"28 Goldsmith St, Hamilton VIC 3300, Australia",4.2,HAMILTON
Hamilton Lonsdale Motel,"110 Lonsdale St, Hamilton VIC 3300, Australia",4.3,HAMILTON
Hawthorn Gardens Serviced Apartments,"750 Toorak Rd, Hawthorn East VIC 3123, Australia",4.0,MALVERN
Kimberley Gardens Hotel,"441 Inkerman St, St Kilda East VIC 3183, Australia",4.4,MALVERN
The Sebel Melbourne Malvern,"803 Dandenong Rd, Malvern VIC 3145, Australia",4.4,MALVERN
Quest Hawthorn,"616 Glenferrie Rd, Hawthorn VIC 3122, Australia",4.1,MALVERN
Evancourt Motel,"1015/1019 Princes Hwy Service Rd, Malvern East VIC 3145, Australia",3.0,MALVERN
Richmond Hill Hotel,"353 Church St, Richmond VIC 3121, Australia",3.9,MALVERN
Deco Family House,"1496 Malvern Rd, Glen Iris VIC 3146, Australia",4.5,MALVERN
Amity Apartment Hotels,"27-29 Claremont St, South Yarra VIC 3141, Australia",4.4,MALVERN
College Lawn Hotel,"36 Greville St, Prahran VIC 3181, Australia",4.3,MALVERN
Carnegie Motor Inn,"1102 Dandenong Rd, Carnegie VIC 3163, Australia",3.0,MALVERN
Amora Hotel Riverwalk Melbourne,"649 Bridge Rd, Richmond VIC 3121, Australia",4.2,MALVERN
Hotel Claremont Guesthouse,"189 Toorak Rd, South Yarra VIC 3141, Australia",4.0,MALVERN
SoYa Apartment Hotel,"4 Darling St, South Yarra VIC 3141, Australia",4.6,MALVERN
Kimberley Gardens Function Centre,"441 Inkerman St, St Kilda East VIC 3183, Australia",4.2,MALVERN
Glenferrie Hotel's Restaurant,"324 Burwood Rd, Hawthorn VIC 3122, Australia",4.1,MALVERN
Cosmopolitan Hotel,"6 Carlisle St, St Kilda VIC 3182, Australia",4.0,MALVERN
Camberwell Serviced Apartment Hotel,"85 Camberwell Rd, Hawthorn East VIC 3123, Australia",4.2,MALVERN
St Kilda East Lodge,"2 Tantram Ave, Melbourne VIC 3183, Australia",2.2,MALVERN
Element Melbourne Richmond,"588 Swan St, Richmond VIC 3121, Australia",4.7,MALVERN
Toorak Manor,"220 Williams Rd, Melbourne VIC 3142, Australia",3.5,MALVERN
Jolly Swagman Motor Inn Euroa,"28 Clifton St, Euroa VIC 3666, Australia",4.4,EUROA
Castle Creek Motel,"53 Clifton St, Euroa VIC 3666, Australia",4.7,EUROA
Euroa Motor Inn,"87-95 Tarcombe St, Euroa VIC 3666, Australia",4.7,EUROA
Euroa Caravan Park,"73-103 Kirkland Ave, Euroa VIC 3666, Australia",4.5,EUROA
Ellen Frances Hotel-Motel,"16 Cowslip St, Violet Town VIC 3669, Australia",3.8,EUROA
MAGGIES LANE BARN HOUSE,"42 Maggies Ln, Ruffy VIC 3666, Australia",0.0,EUROA
Bellbrae Motel,"20 School Rd, Torquay VIC 3228, Australia",4.3,TORQUAY
Torquay Tropicana Motel,"2 Grossmans Rd, Torquay VIC 3228, Australia",4.3,TORQUAY
Surf City Motel,"35 The Esplanade, Torquay VIC 3228, Australia",3.8,TORQUAY
Golden Palms Motel,"234 Torquay Rd, Grovedale VIC 3216, Australia",4.0,TORQUAY
The Abbotswood Motor Inn,"308-310 High St, Belmont VIC 3216, Australia",3.7,TORQUAY
Boat Ramp Motel,"Boat Ramp Motel, 14-18 Guthridge St, Ocean Grove VIC 3226, Australia",4.0,TORQUAY
Aristocrat Waurnvale Motel,"90 Waurn Ponds Dr, Waurn Ponds VIC 3216, Australia",4.0,TORQUAY
Torquay Holiday Park,"55 Surf Coast Hwy, Torquay VIC 3228, Australia",4.2,TORQUAY
Aberdeen Motor Inn,"9 Aberdeen St, Geelong VIC 3220, Australia",3.1,TORQUAY
Bell Street Apartments Torquay,"7 Bell St, Torquay VIC 3228, Australia",0.0,TORQUAY
Anglesea Motor Inn,"109 Great Ocean Rd, Anglesea VIC 3230, Australia",2.7,TORQUAY
Kardinia Park Motel,"422 Latrobe Terrace, Newtown VIC 3220, Australia",3.8,TORQUAY
Admiralty Inn,"66 McKillop St, Geelong VIC 3220, Australia",4.2,TORQUAY
Colonial Lodge Motel,"57 Fyans St, Geelong VIC 3220, Australia",2.3,TORQUAY
Rose Garden Motel,"14-16 Settlement Rd, Geelong VIC 3216, Australia",4.5,TORQUAY
Riverside Ocean Grove,"64 Wallington Rd, Ocean Grove VIC 3226, Australia",4.0,TORQUAY
Hacienda Motel Geelong,"15 Mt Pleasant Rd, Geelong VIC 3216, Australia",4.2,TORQUAY
The View on Grossmans,"135 Grossmans Rd, Torquay VIC 3228, Australia",4.2,TORQUAY
On The Esplanade,"119 The Esplanade, Torquay VIC 3228, Australia",0.0,TORQUAY
Gold Star Stays,"75 McKillop St, Geelong VIC 3220, Australia",3.5,TORQUAY
Jane Eliza Motor Inn,"263 Campbell St, Swan Hill VIC 3585, Australia",4.3,SWAN HILL
Paddle Steamer Motel,"5563 Murray Valley Hwy, Swan Hill VIC 3585, Australia",4.4,SWAN HILL
Best Western Burke and Wills Motor Inn,"370 Campbell St, Swan Hill VIC 3585, Australia",4.5,SWAN HILL
Pioneer Station Motor Inn,"421 Campbell St, Swan Hill VIC 3585, Australia",3.6,SWAN HILL
Australian Settlers Motor Inn,"354 Campbell St, Swan Hill VIC 3585, Australia",4.4,SWAN HILL
Lady Augusta Swan Hill,"375 Campbell St, Swan Hill VIC 3585, Australia",4.7,SWAN HILL
Paruna Motel,"386 Campbell St, Swan Hill VIC 3585, Australia",4.4,SWAN HILL
Murray River Motel,"481 Campbell St, Swan Hill VIC 3585, Australia",4.2,SWAN HILL
Sun Centre Motel,"491 Campbell St, Swan Hill VIC 3585, Australia",3.7,SWAN HILL
Lazy River Motor Inn,"188 Murray Valley Hwy, Swan Hill VIC 3585, Australia",3.7,SWAN HILL
Jacaranda Motel & Holiday Units,"179 Curlewis St, Swan Hill VIC 3585, Australia",4.1,SWAN HILL
Hilltop Resort,"Murray Valley Hwy, Swan Hill VIC 3585, Australia",3.5,SWAN HILL
Lake Boga Caravan Park,"153 Murray Valley Hwy, Lake Boga VIC 3584, Australia",4.3,SWAN HILL
Tallangatta Motor Inn,"1 Akuna Ave, Tallangatta VIC 3700, Australia",3.7,TALLANGATTA
Crystal Fountain Motel,"410 Wagga Rd, Lavington NSW 2641, Australia",4.1,TALLANGATTA
Fountain Court Motor Inn,"568 David St, Albury NSW 2640, Australia",4.0,TALLANGATTA
Northside Hotel Motel,"305 Urana Rd, Lavington NSW 2641, Australia",4.1,TALLANGATTA
Clifton Motel,"424 Smollett St, Albury NSW 2640, Australia",4.0,TALLANGATTA
Winsor Park Motor Inn,"471 Young St, Albury NSW 2640, Australia",4.6,TALLANGATTA
Albury Burvale Motor Inn,"671 Young St, Albury NSW 2640, Australia",4.0,TALLANGATTA
Albury Coach House Motel,"476 Wagga Rd, Lavington NSW 2641, Australia",3.3,TALLANGATTA
Albury City Motel,"729 Young St, Albury NSW 2640, Australia",4.2,TALLANGATTA
Albury Central Motel,"473 Young St, Albury NSW 2640, Australia",3.4,TALLANGATTA
Wangaratta Motor Inn,"Roy St E & Ovens Street, Wangaratta VIC 3677, Australia",3.7,WANGARATTA
Ryley Motor Inn,"52 Ryley St, Wangaratta VIC 3677, Australia",4.6,WANGARATTA
City Reach Motel,"55 Ryley St, Wangaratta VIC 3677, Australia",3.9,WANGARATTA
Advance Motel,"55 Parfitt Rd, Wangaratta VIC 3677, Australia",4.5,WANGARATTA
Central Wangaratta Motel,"11/13 Ely St, Wangaratta VIC 3677, Australia",3.9,WANGARATTA
Gardenview Lodge Motel,"235-249 Tone Rd, Wangaratta VIC 3677, Australia",4.2,WANGARATTA
Hermitage Motor Inn,"7 Cusack St, Wangaratta VIC 3677, Australia",4.4,WANGARATTA
Millers Cottage Motel,"26 Parfitt Rd, Wangaratta VIC 3677, Australia",3.8,WANGARATTA
Wangaratta North Family Motel,"372 Bowser Rd, Wangaratta VIC 3678, Australia",4.5,WANGARATTA
Billabong Motel,"12 Chisholm St, Wangaratta VIC 3677, Australia",4.5,WANGARATTA
Glenrowan Kelly Country Motel,"44 Gladstone St, Glenrowan VIC 3675, Australia",4.6,WANGARATTA
Wang Stays,"31 Perry St, Wangaratta VIC 3677, Australia",4.3,WANGARATTA
Milawa Motel,"1615 Snow Rd, Milawa VIC 3678, Australia",4.5,WANGARATTA
Short Stops,"41 Murdoch Rd, Wangaratta VIC 3677, Australia",4.5,WANGARATTA
Waldara Cottage,"45 Waldara Dr, Waldara VIC 3678, Australia",4.9,WANGARATTA
Springhurst Butter Factory,"160 Anzac Rd, Springhurst VIC 3682, Australia",4.7,WANGARATTA
Cottonwoods Accommodation,"2139 Snow Rd, Markwood VIC 3678, Australia",4.7,WANGARATTA
Yarranungara Yurt Retreat,"512 Oxley-Meadow Creek Rd, Oxley VIC 3678, Australia",4.9,WANGARATTA
Casa Pizzini,"18 Wangandary Rd, Wangaratta VIC 3677, Australia",0.0,WANGARATTA
Longview Holiday Let,"282/70619 Upper Taminick Rd, Glenrowan VIC 3675, Australia",0.0,WANGARATTA
Comfort Inn On Raglan,"349 Raglan Parade, Warrnambool VIC 3280, Australia",4.3,WARRNAMBOOL
Anchor Belle Motel,"1 Darling St, Warrnambool VIC 3280, Australia",4.2,WARRNAMBOOL
Best Western Colonial Village Motel,"31 Mortlake Rd, Warrnambool VIC 3280, Australia",4.4,WARRNAMBOOL
ELM TREE MOTEL,"179 Kepler St, Warrnambool VIC 3280, Australia",4.5,WARRNAMBOOL
Warrnambool Central Court Motel,"581 Raglan Parade, Warrnambool VIC 3280, Australia",4.4,WARRNAMBOOL
Comfort Inn Warrnambool International,"75-77 Banyan St, Warrnambool VIC 3280, Australia",4.4,WARRNAMBOOL
Hopkins House Motel & Apartments,"2/4 Whites Rd, Warrnambool VIC 3280, Australia",4.3,WARRNAMBOOL
Best Western Tudor Motor Inn,"519 Raglan Parade, Warrnambool VIC 3280, Australia",3.9,WARRNAMBOOL
Mid City Motel Warrnambool,"525 Raglan Parade, Warrnambool VIC 3280, Australia",4.2,WARRNAMBOOL
Redwood Manor Motel Apartments,"251-253 Koroit St, Warrnambool VIC 3280, Australia",3.9,WARRNAMBOOL
Downtown Motel,"620 Princes Hwy, Warrnambool VIC 3280, Australia",3.8,WARRNAMBOOL
City Central Motel & Apartments,"14 King St, Warrnambool VIC 3280, Australia",4.0,WARRNAMBOOL
Blue Whale Motor Inn & Apartments,"Blue Whale Motor Inn & Apartments, 367 Raglan Parade, Warrnambool VIC 3280, Australia",4.4,WARRNAMBOOL
Eight Spence,"8 Spence St, Warrnambool VIC 3280, Australia",4.4,WARRNAMBOOL
Gateway Motor Inn Warrnambool,"69 Raglan Parade, Warrnambool VIC 3280, Australia",4.2,WARRNAMBOOL
Motel Warrnambool,"65 Raglan Parade, Warrnambool VIC 3280, Australia",4.0,WARRNAMBOOL
City Heart Motel,"4 Spence St, Warrnambool VIC 3280, Australia",4.3,WARRNAMBOOL
Turn-In Motel,"41 Verdon St, Warrnambool VIC 3280, Australia",3.1,WARRNAMBOOL
All Star Motor Inn,"762 Raglan Parade, Warrnambool VIC 3280, Australia",2.0,WARRNAMBOOL
Hopkins House,"2-4 Whites Rd, Warrnambool VIC 3280, Australia",0.0,WARRNAMBOOL
ibis Styles Sale,"25-41 Princes Hwy, Sale VIC 3850, Australia",3.6,SALE
Comfort Inn & Suites King Avenue,"20-26 Princes Hwy, Sale VIC 3850, Australia",4.3,SALE
Motel24seven.com.au & Apartments,"386 York St, Sale VIC 3850, Australia",4.4,SALE
THE WURRUK MOTEL,"46-54 Wurruk Way, Wurruk VIC 3850, Australia",3.8,SALE
Rivers Apartments & Motel Sale Gippsland,"1/1/15 Princes Hwy, Wurruk VIC 3850, Australia",4.1,SALE
The Matador Motel,"Princes Hwy &, Raymond St, Sale VIC 3850, Australia",4.5,SALE
Quest Sale,"180/184 York St, Sale VIC 3850, Australia",4.4,SALE
Midtown Motor Inn,"91 York St, Sale VIC 3850, Australia",4.1,SALE
At Home Apartments,"12 Pearson St, Sale VIC 3850, Australia",4.9,SALE
Criterion Hotel,"90 MacAlister St, Sale VIC 3850, Australia",4.5,SALE
Mansi On Raymond,"476 Raymond St, Sale VIC 3850, Australia",4.8,SALE
Best Western Aspen & Apartments,"342 York St, Sale VIC 3850, Australia",4.7,SALE
Bon Accord Bed & Breakfast,"153-155 Dawson St, Sale VIC 3850, Australia",4.7,SALE
The Macalister,"MacAlister St, Sale VIC 3850, Australia",0.0,SALE
Sale Motor Village,"2-6 Foster St, Sale VIC 3850, Australia",3.6,SALE
Port Sale Apartments,"110 Foster St, Sale VIC 3850, Australia",0.0,SALE
Kilmany Park Estate,"1613 Settlement Rd, Sale VIC 3850, Australia",5.0,SALE
Frog Gully Cottages,"2419 Rosedale-Longford Rd, Longford VIC 3851, Australia",5.0,SALE
Tinamba Hotel,"4-6 Tinamba-Seaton Rd, Tinamba VIC 3859, Australia",4.6,SALE
Maffra Motor Inn,"184 Johnson St, Maffra VIC 3860, Australia",4.4,SALE
Edenhope Motor Inn,"157 Elizabeth St, Edenhope VIC 3318, Australia",4.0,EDENHOPE
Bottlemart Express - Lake Wallace Hotel,"46 Elizabeth St, Edenhope VIC 3318, Australia",3.7,EDENHOPE
Nunawading Motor Inn,"245 Whitehorse Rd, Nunawading VIC 3131, Australia",3.5,NUNAWADING
The Burvale Hotel,"Cnr Springvale Rd &, Burwood Hwy, Nunawading VIC 3131, Australia",3.8,NUNAWADING
Beau Monde International,"934 Doncaster Rd, Doncaster East VIC 3109, Australia",3.9,NUNAWADING
Quality Hotel Manor,"669 Maroondah Hwy, Mitcham VIC 3132, Australia",3.8,NUNAWADING
Canterbury International Hotel,"326 Canterbury Rd, Forest Hill VIC 3131, Australia",4.3,NUNAWADING
Best Western Plus The Tudor,"1101 Whitehorse Rd, Box Hill VIC 3128, Australia",3.6,NUNAWADING
Burwood East Motel,"355 Blackburn Road, Melbourne (burwood East) VIC 3151, Australia",4.0,NUNAWADING
Shoppingtown Hotel,"19 Williamsons Rd, Doncaster VIC 3108, Australia",3.9,NUNAWADING
Nightcap at Manhattan Hotel,"Cnr Heatherdale & Canterbury Roads, Ringwood VIC 3134, Australia",5.0,NUNAWADING
Motel Maroondah,"768 Whitehorse Rd, Mont Albert VIC 3127, Australia",2.5,NUNAWADING
Quest Burwood East,"315 Burwood Hwy, Burwood East VIC 3151, Australia",4.7,NUNAWADING
Park Avenue - Forest Hill,"305 Canterbury Rd, Forest Hill VIC 3131, Australia",4.3,NUNAWADING
Ringwood Lake Inn,"327 Maroondah Hwy, Melbourne VIC 3134, Australia",3.9,NUNAWADING
